,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
14,14,Paris,France,48.856614,2.352222,1975,9400000,/01/01,01/01/1975, 00:00:00,01/01/1975 00:00,0.408692439,Europe
17,17,Paris,France,48.856614,2.352222,1970,8875000,/01/01,01/01/1970, 00:00:00,01/01/1970 00:00,0.385866228,Europe
42,42,Paris,France,48.856614,2.352222,1950,5900000,/01/01,01/01/1950, 00:00:00,01/01/1950 00:00,0.256517698,Europe
57,57,Paris,France,48.856614,2.352222,1925,4800000,/01/01,01/01/1925, 00:00:00,01/01/1925 00:00,0.208691352,Europe
78,78,Paris,France,48.856614,2.352222,1914,4000000,/01/01,01/01/1914, 00:00:00,01/01/1914 00:00,0.173908554,Europe
100,100,Paris,France,48.856614,2.352222,1900,3330000,/01/01,01/01/1900, 00:00:00,01/01/1900 00:00,0.144777961,Europe
169,169,Paris,France,48.856614,2.352222,1875,2250000,/01/01,1875/01/01, 00:00:00,1875/01/01 00:00:00,0.097821184,Europe
310,310,Paris,France,48.856614,2.352222,1851,1325000,/01/01,1851/01/01, 00:00:00,1851/01/01 00:00:00,0.057603574,Europe
315,315,Paris,France,48.856614,2.352222,1850,1314000,/01/01,1850/01/01, 00:00:00,1850/01/01 00:00:00,0.05712531,Europe
334,334,Paris,France,48.856614,2.352222,1846,1270000,/01/01,1846/01/01, 00:00:00,1846/01/01 00:00:00,0.055212257,Europe
495,495,Paris,France,48.856614,2.352222,1825,855000,/01/01,1825/01/01, 00:00:00,1825/01/01 00:00:00,0.03716868,Europe
753,753,Paris,France,48.856614,2.352222,1775,600600,/01/01,1775/01/01, 00:00:00,1775/01/01 00:00:00,0.026107751,Europe
785,785,Paris,France,48.856614,2.352222,1756,576630,/01/01,1756/01/01, 00:00:00,1756/01/01 00:00:00,0.025065571,Europe
822,822,Paris,France,48.856614,2.352222,1683,559000,/01/01,1683/01/01, 00:00:00,1683/01/01 00:00:00,0.024299045,Europe
825,825,Paris,France,48.856614,2.352222,1750,556000,/01/01,1750/01/01, 00:00:00,1750/01/01 00:00:00,0.02416861,Europe
827,827,Paris,France,48.856614,2.352222,1748,553000,/01/01,1748/01/01, 00:00:00,1748/01/01 00:00:00,0.024038174,Europe
841,841,Paris,France,48.856614,2.352222,1801,547756,/01/01,1801/01/01, 00:00:00,1801/01/01 00:00:00,0.023810173,Europe
842,842,Paris,France,48.856614,2.352222,1800,547000,/01/01,1800/01/01, 00:00:00,1800/01/01 00:00:00,0.023777303,Europe
848,848,Paris,France,48.856614,2.352222,1675,540000,/01/01,1675/01/01, 00:00:00,1675/01/01 00:00:00,0.023472954,Europe
863,863,Paris,France,48.856614,2.352222,1700,530000,/01/01,1700/01/01, 00:00:00,1700/01/01 00:00:00,0.023038169,Europe
894,894,Paris,France,48.856614,2.352222,1714,509640,/01/01,1714/01/01, 00:00:00,1714/01/01 00:00:00,0.022152946,Europe
977,977,Paris,France,48.856614,2.352222,1650,455000,/01/01,1650/01/01, 00:00:00,1650/01/01 00:00:00,0.019777281,Europe
1048,1048,Paris,France,48.856614,2.352222,1637,412000,/01/01,1637/01/01, 00:00:00,1637/01/01 00:00:00,0.017907706,Europe
1276,1276,Paris,France,48.856614,2.352222,1382,300000,/01/01,1382/01/01, 00:00:00,1382/01/01 00:00:00,0.013038114,Europe
