,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
1443,1443,Hangzhou,China,30.25,120.166667,1200,255000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.011081582,Asia
1731,1731,Fez,Morocco,34.033333,-5.01,1200,200000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.008690265,Africa
1730,1730,Cairo,Egypt,30.06263,31.24967,1200,200000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.008690265,Africa
1840,1840,Bagan,Myanmar,21.172111,94.8602,1200,180000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.007820695,Asia
1867,1867,Kamakura,Japan,35.30889,139.55028,1200,175000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.007603301999999999,Asia
2029,2029,Palermo,Italy,38.115689,13.361267,1200,150000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00651634,Europe
2030,2030,Seville,Spain,37.388097,-5.982331,1200,150000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00651634,Europe
2028,2028,Marrakech,Morocco,31.63416,-7.99994,1200,150000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00651634,Africa
2027,2027,Istanbul,Turkey,41.005275,28.976944,1200,150000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00651634,Asia
2026,2026,Gelibolu,Turkey,40.333333,26.499992,1200,150000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00651634,Asia
2025,2025,Angkor,Cambodia,13.412417,103.86705,1200,150000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00651634,Asia
2187,2187,Beijing,China,39.9075,116.39723,1200,130000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00564677,Asia
2188,2188,Nanjing,China,32.05,118.766667,1200,130000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00564677,Asia
2417,2417,Guangzhou,China,23.11667,113.25,1200,110000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0047772,Asia
2418,2418,Paris,France,48.856614,2.352222,1200,110000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0047772,Europe
2564,2564,Kaifeng,China,34.7986,114.30742,1200,100000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.004342415,Asia
2565,2565,Kyoto,Japan,35.02107,135.75385,1200,100000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.004342415,Asia
2563,2563,Dumyat,Egypt,31.41648,31.81332,1200,100000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.004342415,Africa
2562,2562,Dali,China,25.606486,100.267638,1200,100000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.004342415,Asia
2561,2561,Baghdad,Iraq,33.34058,44.40088,1200,100000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.004342415,Asia
